iter	MultiClass
0	1.465432751
1	1.230131089
2	1.063449831
3	0.9340227361
4	0.8284197653
5	0.7354564085
6	0.6523583123
7	0.5897028642
8	0.5342972897
9	0.48711065
10	0.4391563046
11	0.4021772023
12	0.3685120868
13	0.3357862815
14	0.3127884747
15	0.2889115168
16	0.2672986841
17	0.2450575382
18	0.2261817095
19	0.2101805837
20	0.1957469978
21	0.1809765496
22	0.1691798317
23	0.1580327133
24	0.148888393
25	0.1395648062
26	0.1300196785
27	0.1236662404
28	0.1162547526
29	0.1112050025
30	0.1056210948
31	0.1018881173
32	0.0975887669
33	0.09255924509
34	0.08956809532
35	0.08551918327
36	0.08222338128
37	0.07845551025
38	0.07547326467
39	0.0725817268
40	0.07028269545
41	0.06707997214
42	0.0648930105
43	0.06349182295
44	0.06165645034
45	0.05966276172
46	0.05831761155
47	0.05619875293
48	0.05520476502
49	0.05253437747
50	0.05130877208
51	0.05044413683
52	0.0493216182
53	0.04748575737
54	0.04629160501
55	0.04437463002
56	0.04425368779
57	0.0430850257
58	0.04243691846
59	0.04158917805
60	0.04056837966
61	0.04043823345
62	0.03963073744
63	0.03848830383
64	0.03745182234
65	0.03686814706
66	0.03620216668
67	0.03606999624
68	0.03598928048
69	0.03523444601
70	0.03391439674
71	0.0338022063
72	0.03288805447
73	0.03245819835
74	0.03162098851
75	0.03158242193
76	0.03046249812
77	0.0299794436
78	0.02930920822
79	0.02852634259
80	0.02791678501
81	0.02777935505
82	0.02689047367
83	0.02679767226
84	0.02663474377
85	0.026041771
86	0.02522082208
87	0.02470532597
88	0.02463495108
89	0.02384531123
90	0.02380154699
91	0.0237597533
92	0.02337781897
93	0.0230120599
94	0.02284439735
95	0.0225255863
96	0.02205663
97	0.02147952666
98	0.02115612947
99	0.02099211151
100	0.02078621569
101	0.0205342305
102	0.02040271928
103	0.01981927527
104	0.01978462793
105	0.01935449716
106	0.0188336955
107	0.01864273967
108	0.01849142426
109	0.01831526756
110	0.0177850416
111	0.01732875171
112	0.01730469271
113	0.01698444233
114	0.01695143556
115	0.01693749572
116	0.01686273823
117	0.01683475247
118	0.01656180958
119	0.01654960987
120	0.01623459642
121	0.01599110543
122	0.01597011594
123	0.01593733745
124	0.01591412216
125	0.0156596687
126	0.01564441866
127	0.01531123688
128	0.01504024673
129	0.01498007309
130	0.01477140119
131	0.01470533521
132	0.01448468892
133	0.01443045779
134	0.01439095737
135	0.0143782101
136	0.01431299259
137	0.014258231
138	0.01424162536
139	0.0140980103
140	0.01393653799
141	0.01370867933
142	0.01365483211
143	0.01350684364
144	0.01328929984
145	0.01326919852
146	0.01310123468
147	0.01287754118
148	0.01266230575
149	0.01256930947
150	0.0123933643
151	0.01237307705
152	0.01220771755
153	0.01214536462
154	0.01211920718
155	0.01210737918
156	0.01201113697
157	0.0119690786
158	0.01192830362
159	0.0118360398
160	0.01182436662
161	0.01170933568
162	0.01168912257
163	0.01161635693
164	0.01151646417
165	0.01136160637
166	0.01134904183
167	0.01125786483
168	0.01117614707
169	0.01109126989
170	0.01102023231
171	0.01100912746
172	0.01100087828
173	0.01092594757
174	0.010890096
175	0.01080013928
176	0.01076894525
177	0.01075844775
178	0.01066828201
179	0.01052188029
180	0.01044483284
181	0.01036467108
182	0.0102009156
183	0.01018497742
184	0.01013121202
185	0.01011160894
186	0.00997010247
187	0.009929919866
188	0.009871203552
189	0.009836858722
190	0.009756845476
191	0.009657786618
192	0.009647767451
193	0.009573628736
194	0.009561436068
195	0.009402138034
196	0.009319915065
197	0.009311621249
198	0.009240696202
199	0.009166176668
